Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity
"Aug 24, 2018","1,905.39","1,910.51","1,916.01","1,902.54",2.80M
"Aug 23, 2018","1,902.90","1,907.17","1,919.50","1,900.76",3.56M
"Aug 22, 2018","1,904.90","1,876.64","1,905.80","1,876.64",3.08M
"Aug 21, 2018","1,883.42","1,880.00","1,897.75","1,874.40",3.11M
"Aug 20, 2018","1,876.71","1,890.57","1,891.75","1,866.06",2.86M
"Aug 17, 2018","1,882.22","1,885.80","1,888.00","1,855.55",4.10M
"Aug 16, 2018","1,886.52","1,903.94","1,905.00","1,883.55",3.96M
"Aug 15, 2018","1,882.62","1,909.55","1,916.21","1,869.79",7.70M
"Aug 14, 2018","1,919.65","1,919.39","1,921.01","1,900.00",3.99M
"Aug 13, 2018","1,896.20","1,898.50","1,925.00","1,893.67",5.53M
"Aug 10, 2018","1,886.30","1,888.51","1,899.50","1,878.21",3.64M
"Aug 09, 2018","1,898.52","1,882.00","1,914.57","1,877.48",4.86M
"Aug 08, 2018","1,886.52","1,861.00","1,891.51","1,854.50",3.96M
"Aug 07, 2018","1,862.48","1,854.53","1,869.72","1,846.27",3.38M
"Aug 06, 2018","1,847.75","1,825.81","1,847.77","1,818.92",3.39M
"Aug 03, 2018","1,823.29","1,837.74","1,841.00","1,821.50",3.46M
"Aug 02, 2018","1,834.33","1,788.77","1,836.56","1,786.00",4.35M
"Aug 01, 2018","1,797.17","1,784.00","1,798.44","1,776.02",4.15M
"Jul 31, 2018","1,777.44","1,786.49","1,801.83","1,739.32",5.74M
"Jul 30, 2018","1,779.22","1,827.33","1,829.50","1,766.02",6.56M
"Jul 27, 2018","1,817.27","1,876.05","1,880.05","1,806.53",9.68M
"Jul 26, 2018","1,808.00","1,839.00","1,844.68","1,804.50",9.92M
"Jul 25, 2018","1,863.61","1,829.30","1,863.84","1,822.64",3.84M
"Jul 24, 2018","1,829.24","1,829.01","1,840.00","1,809.38",4.28M
"Jul 23, 2018","1,802.00","1,812.21","1,819.00","1,769.99",3.89M
"Jul 20, 2018","1,813.70","1,825.01","1,834.84","1,810.06",3.89M
